STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481116 16:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481116 17:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481119 04:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481119 05:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481119 06:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481119 07:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481119 08:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481125 22:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481201 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481201 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481202 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481202 23:00,0.06, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481203 00:00,0.09, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481203 01:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481203 02:00,0.09, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481203 03:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481203 04:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 07:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 08:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 09:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 10:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 11:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 12:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 13:00,0.11, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481205 14:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 09:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 10:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 11:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 12:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 13:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 14:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 15:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481207 16:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481208 03:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481208 04:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 06:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481212 07:00,0.01, , 
